Country_name,Country_code,Days,Cost_of _living(CL),Class,Ticket_price, CL(Rounded)
Egypt,818,7,6902.5075,2,81234,6903
El Salvador,222,7,10321.235,2,182370,10321
Equatorial Guinea,226,7,15950.88,2,148974,15951
Estonia,233,7,13464.8675,2,128200,13465
Ethiopia,231,7,12913.725,2,183918,12914
Fiji,242,7,10267.89,2,125060,10268
Finland,246,7,17340.395,2,80116,17340
France,250,7,17452.64,2,97144,17453
French Polynesia,258,7,21647.635,2,1352056,21648
French Southern Territories,260,7,16357.9075,2,123000,16358
Gabon,266,7,16357.9075,2,125094,16358
Gambia,270,7,7386.3075,2,195528,7386
Georgia,268,7,7386.3075,2,102820,7386
Germany,276,7,16505.36,2,96026,16505
Ghana,288,7,9909.5325,2,100068,9910
Gibraltar,292,7,16333.3725,2,110044,16333
Greece,300,7,29454.27,2,108840,29454
Guam,316,7,24447.6975,2,395908,24448
Guatemala,320,7,10728.125,2,169212,10728
Guernsey,831,7,21008.97,2,126126,21009
Guinea-Bissau,624,7,12446.2925,2,165000,12446
Guyana,328,7,12446.2925,2,222876,12446
Haiti,332,7,17165.125,2,11574,17165
Honduras,340,7,10289.1575,2,66700,10289
Hong Kong,344,7,19864.5675,2,149550,19865
Hungary,348,7,10511.2725,2,129824,10511
Iceland,352,7,22591.1675,2,382062,22591
India,356,7,6009.135,2,-15000,6009
Indonesia,360,7,8312.4075,2,530928,8312
Iran,364,7,8728.6725,2,68447,8729
Iraq,368,7,9215.305,2,52000,9215
Ireland,372,7,17854.0375,2,117440,17854
Isle of Man,833,7,16947.515,2,44254,16948
Israel,376,7,19850.04,2,187530,19850
Italy,380,7,16034.1175,2,75214,16034
Ivory Coast,225,7,13393.8325,2,125982,13394
Jamaica,388,7,11707.14,2,167901,11707
Japan,392,7,19870.87,2,113202,19871
Jersey,832,7,21207.7025,2,123267,21208
Jordan,400,7,12113.1475,2,131360,12113
Kazakhstan,398,7,7643.0325,2,124480,7643
Kenya,404,7,8914.86,2,74433,8915
Kosovo,383,7,6887.59,2,81087,6888
Kuwait,414,7,12723.08,2,135759,12723
Kyrgyzstan,417,7,6530.085,2,122881,6530
Latvia,428,7,12542.205,2,73695,12542
Lebanon,422,7,17147.34,2,145435,17147
Liberia,430,7,22389.2925,2,165181,22389
Libyan Arab Jamahiriya,434,7,12741.635,2,105000,12742
Liechtenstein,438,7,24123.8625,2,103460,24124
Lithuania,440,7,11278.9075,2,109085,11279
Luxembourg,442,7,19958.59,2,97315,19959
Macao,446,7,16531.7675,2,74000,16532
Madagascar,450,7,7109.375,2,556085,7109
Malawi,454,7,11965.2725,2,137676,11965
Malaysia,458,7,8402.97,2,257339,8403
Maldives,462,7,14267.9875,2,57880,14268
Malta,470,7,16072.925,2,72116,16073
Mayotte,175,7,19999.1175,2,379738,19999
Mexico,484,7,8755.395,2,190728,8755
"Moldova, Republic of",498,7,7941.015,2,111064,7941
Monaco,492,7,29508.59,2,93035,29509
Mongolia,496,7,8675.4625,2,46222,8675
Montenegro,499,7,9595.7725,2,108268,9596
Morocco,504,7,8009.1925,2,183760,8009
Myanmar,104,7,8869.51,2,155000,8870
Nepal,524,7,6160.27,2,61000,6160
Netherlands,528,7,18388.3,2,76429,18388
New Caledonia,540,7,24057.24,2,55000,24057
New Zealand,554,7,17113.365,2,653667,17113
Nicaragua,558,7,9951.0025,2,247063,9951
Niger,562,7,13641.495,2,130940,13641
Nigeria,566,7,7919.3675,2,130940,7919
North Macedonia,807,7,7994.66,2,153695,7995
Norway,578,7,22972.6825,2,111518,22973
Oman,512,7,11969.0775,2,32220,11969
Pakistan,586,7,5541.21,2,34000,5541
Palau,585,7,11743.1575,2,3999,11743
"Palestinian Territory, Occupied",275,7,12788.325,2,148163,12788
Panama,591,7,12628.575,2,172795,12629
Papua New Guinea,598,7,19517.565,2,816685,19518
Paraguay,600,7,7415.42,2,231961,7415
Peru,604,7,7535.8725,2,3595,7536
Philippines,608,7,9540.45,2,493026,9540
Poland,616,7,10805.1675,2,106809,10805
Portugal,620,7,11475.35,2,97315,11475
Puerto Rico,630,7,16139.2,2,148779,16139
Qatar,634,7,15527.215,2,23131,15527
Republic Of Congo,242,7,20623.6075,2,158001,20624
Romania,642,7,9006.1975,2,94809,9006
Russia,643,7,9467.9225,2,97871,9468
Rwanda,646,7,8111.365,2,114426,8111
"Saint Helena, Ascension and Tristan da Cunha",654,7,15470.03,2,25000,15470
Saint Vincent and the Grenadines,670,7,15140.84,2,242418,15141
San Marino,674,7,15990.1075,2,402250,15990
Saudi Arabia,682,7,15990.1075,2,121931,15990
Senegal,686,7,12950.0175,2,265528,12950
Serbia,688,7,9095.525,2,109094,9096
Seychelles,690,7,16015.6775,2,164124,16016
Singapore,702,7,17672.8,2,206805,17673
Slovakia,703,7,11687.535,2,74000,11688
Somalia,706,7,8351.7825,2,105000,8352
South Africa,710,7,10923.0625,2,185394,10923
South Korea,82,7,18138.805,2,264659,18139
Spain,724,7,13131.525,2,97315,13132
Sri Lanka,144,7,6729.435,2,12816,6729
Sudan,736,7,10077.4775,2,60000,10077
Suriname,740,7,11890.48,2,254876,11890
Sweden,752,7,17367.04,2,85479,17367
Switzerland,756,7,29091.3525,2,94157,29091
Syrian Arab Republic,760,7,6714.875,2,102600,6715
Taiwan,158,7,14988.8675,2,246890,14989
Tajikistan,762,7,7258.53,2,65000,7259
"Tanzania, United Republic of",834,7,8612.4025,2,124656,8612
Thailand,764,7,10165.4,2,188573,10165
Timor-Leste,626,7,13848.1725,2,105000,13848
Trinidad and Tobago,780,7,12855.2175,2,300379,12855
Tunisia,788,7,6660.125,2,125202,6660
Turkey,792,7,7580.0175,2,109075,7580
Turkmenistan,795,7,32575.855,2,63000,32576
Uganda,800,7,8794.975,2,97334,8795
Ukraine,804,7,7726.8375,2,97315,7727
United Arab Emirates,784,7,15470.225,2,322871,15470
United Kingdom,826,7,16350.805,2,93817,16351
United States Of America,840,7,17080.8525,2,231961,17081
Uruguay,858,7,12325.535,2,115220,12326
Uzbekistan,860,7,7036.3575,2,153755,7036
Vanuatu,548,7,18831.04,2,25000,18831
Venezuela,862,7,9357.7,2,257598,9358
Vietnam,704,7,8166.2375,2,183775,8166
Yemen,887,7,12452.8525,2,0,12453
Zambia,894,7,8756.0925,2,129491,8756
Zimbabwe,716,7,10891.88,2,180599,10892
Afghanistan,4,1,1077.58785714286,0,24540,1078
Aland Islands,248,1,2565.64321428571,0,38000,2566
Albania,8,1,1227.05321428571,0,37154,1227
Algeria,12,1,981.946071428571,0,38438,982
Andorra,20,1,2125.285,0,65492,2125
Angola,24,1,2557.19642857143,0,45417,2557
Argentina,32,1,1164.51892857143,0,62791,1165
Armenia,51,1,1220.44428571429,0,32917,1220
Aruba,533,1,2694.4725,0,48110,2694
Australia,36,1,2542.22464285714,0,36567,2542
Austria,40,1,2588.5225,0,48960,2589
Azerbaijan,31,1,1077.50071428571,0,24369,1078
Bahamas,44,1,2906.84642857143,0,52553,2907
Bahrain,48,1,2029.48464285714,0,55378,2029
Bangladesh,50,1,1031.46035714286,0,55452,1031
Barbados,52,1,2932.49071428571,0,28164,2932
Belarus,112,1,1136.69785714286,0,75954,1137
Belgium,56,1,2471.27892857143,0,67511,2471
Belize,84,1,1651.65857142857,0,87952,1652
Bermuda,60,1,4831.21464285714,0,68229,4831
Bhutan,64,1,1435.50142857143,0,12000,1436
Bolivia,68,1,1284.20821428571,0,171097,1284
Bosnia and Herzegovina,70,1,1318.925,0,103463,1319
Botswana,72,1,1365.70785714286,0,95381,1366
Bouvet Island,74,1,4310.99607142857,0,1223600,4311
Brazil,76,1,1218.28607142857,0,103096,1218
Brunei Darussalam,96,1,1666.37785714286,0,101331,1666
Bulgaria,100,1,1335.42392857143,0,127832,1335
Burkina Faso,854,1,1776.02857142857,0,127835,1776
Cambodia,116,1,1539.23714285714,0,74252,1539
Cameroon,120,1,1388.00642857143,0,68841,1388
Canada,124,1,2338.98464285714,0,92203,2339
Chile,152,1,1686.71178571429,0,107167,1687
China,156,1,1438.83714285714,0,226004,1439
Christmas Island,162,1,996.452142857143,0,15000,996
Colombia,170,1,996.452142857143,0,91259,996
Congo,178,1,3665.71428571429,0,115320,3666
Costa Rica,188,1,1670.84392857143,0,104669,1671
Curacao,599,1,2385.40678571429,0,122433,2385
Croatia,191,1,1921.50607142857,0,72995,1922
Cuba,192,1,1551.51392857143,0,152249,1552
Cyprus,196,1,2104.57785714286,0,74746,2105
Czech Republic,203,1,1698.98107142857,0,55511,1699
Denmark,208,1,2854.32535714286,0,96138,2854
Djibouti,262,1,3330.32285714286,0,80372,3330
Dominica,212,1,2149.39857142857,0,98248,2149
